Address 1,Address 2,Postal Code,City,State,Country,Contact Name,Contact Phone,Contact Company,Contact Email,Latitude,Longitude
302 Tiong Bahru Road 168732,#01-01,168732,Singapore,,Singapore,Yojee QA 1 ,6520210764,QA Corp 001,qa1@mail.com,1.2833754,103.8271508
77 Robinson Road,#01-02,68896,Singapore,,Singapore,Yojee QA 2 ,6520210763,QA Corp 002,qa2@mail.com,1.2777689,103.8483915
"37 Tanjong Pagar Road, Singapore",#01-03,88460,Singapore,,Singapore,Yojee QA 3 ,6520210762,QA Corp 003,qa3@mail.com,1.279081,103.843997
"30 Changi Ferry Rd, Singapore",#01-04,499675,Singapore,,Singapore,Yojee QA 4 ,6520210761,QA Corp 004,qa4@mail.com,1.373055,104.008023
"10 Bayfront Avenue, Singapore",#01-05,18956,Singapore,,Singapore,Yojee QA 5 ,6520210760,QA Corp 005,qa5@mail.com,1.283449,103.858945
"7 Sin Ming Walk, Singapore",#01-06,575577,Singapore,,Singapore,Yojee QA 6 ,6520210759,QA Corp 006,qa6@mail.com,1.364276,103.831101
"50 Tanah Merah Ferry Road, Singapore 498833, Singapore",#01-07,498833,Singapore,,Singapore,Yojee QA 7 ,6520210758,QA Corp 007,qa7@mail.com,1.314049,103.98869
"2 Bukit Batok Street 24, Singapore",#01-08,659480,Singapore,,Singapore,Yojee QA 8 ,6520210757,QA Corp 008,qa8@mail.com,1.340709,103.754396
"1b Jalan Ulu Siglap, Singapore",#01-09,457120,Singapore,,Singapore,Yojee QA 9 ,6520210756,QA Corp 009,qa9@mail.com,1.313723,103.928344
"25 International Business Park Road, German Centre, Singapore",#01-10,609916,Singapore,,Singapore,Yojee QA 10 ,6520210755,QA Corp 010,qa10@mail.com,1.324972,103.746386
"5001 Beach Rd, Singapore",#01-11,199588,Singapore,,Singapore,Yojee QA 11 ,6520210754,QA Corp 011,qa11@mail.com,1.30279,103.86538
"32 Beach Rd, Singapore",#01-12,189761,Singapore,,Singapore,Yojee QA 12 ,6520210753,QA Corp 012,qa12@mail.com,1.294291,103.855251
"76 Playfair Road, LHK2 Building, Singapore",#01-13,367996,Singapore,,Singapore,Yojee QA 13 ,6520210752,QA Corp 013,qa13@mail.com,1.336356,103.885911
"10 Jalan Besar, Sim Lim Tower, Singapore",#01-14,208787,Singapore,,Singapore,Yojee QA 14 ,6520210751,QA Corp 014,qa14@mail.com,1.303784,103.854608
"10 Jalan Besar, 123 LED Lighting (Sim Lim Tower), Singapore",#01-15,208787,Singapore,,Singapore,Yojee QA 15 ,6520210750,QA Corp 015,qa15@mail.com,1.30376,103.854738
"10 Jalan Besar, Singapore",#01-16,208787,Singapore,,Singapore,Yojee QA 16 ,6520210749,QA Corp 016,qa16@mail.com,1.30376,103.854738
"531 Upper Cross Street, Singapore",#01-17,50531,Singapore,,Singapore,Yojee QA 17 ,6520210748,QA Corp 017,qa17@mail.com,1.284565,103.845394
"42 Horne Road, Singapore",#01-18,209066,Singapore,,Singapore,Yojee QA 18 ,6520210747,QA Corp 018,qa18@mail.com,1.309355,103.862162
"2 Horne Road, Singapore",#01-19,209057,Singapore,,Singapore,Yojee QA 19 ,6520210746,QA Corp 019,qa19@mail.com,1.307902,103.862717
"10 Horne Road, Singapore",#01-20,209061,Singapore,,Singapore,Yojee QA 20 ,6520210745,QA Corp 020,qa20@mail.com,1.308185,103.862693
"28 Horne Road, Singapore",#01-21,209063,Singapore,,Singapore,Yojee QA 21 ,6520210744,QA Corp 021,qa21@mail.com,1.308525,103.862326
